RANDOM FOREST
Best param: {'id': 'S29', 'n_estimators': 29, 'max_features': 'sqrt', 'result': 0.906930129607192}
scores: [{'id': 'S1', 'n_estimators': 1, 'max_features': 'sqrt', 'result': 0.8624181103890314}, {'id': 'S2', 'n_estimators': 2, 'max_features': 'sqrt', 'result': 0.8931739862472661}, {'id': 'S3', 'n_estimators': 3, 'max_features': 'sqrt', 'result': 0.8925251635169653}, {'id': 'S4', 'n_estimators': 4, 'max_features': 'sqrt', 'result': 0.8960852963236876}, {'id': 'S5', 'n_estimators': 5, 'max_features': 'sqrt', 'result': 0.8941443355205531}, {'id': 'S6', 'n_estimators': 6, 'max_features': 'sqrt', 'result': 0.9011061981715474}, {'id': 'S7', 'n_estimators': 7, 'max_features': 'sqrt', 'result': 0.8972206049734334}, {'id': 'S8', 'n_estimators': 8, 'max_features': 'sqrt', 'result': 0.9032092335289768}, {'id': 'S9', 'n_estimators': 9, 'max_features': 'sqrt', 'result': 0.9012653879036785}, {'id': 'S10', 'n_estimators': 10, 'max_features': 'sqrt', 'result': 0.9019136861208583}, {'id': 'S11', 'n_estimators': 11, 'max_features': 'sqrt', 'result': 0.8993223290480612}, {'id': 'S12', 'n_estimators': 12, 'max_features': 'sqrt', 'result': 0.901104624632185}, {'id': 'S13', 'n_estimators': 13, 'max_features': 'sqrt', 'result': 0.9022365239466466}, {'id': 'S14', 'n_estimators': 14, 'max_features': 'sqrt', 'result': 0.9038554336936737}, {'id': 'S15', 'n_estimators': 15, 'max_features': 'sqrt', 'result': 0.9023975494747001}, {'id': 'S16', 'n_estimators': 16, 'max_features': 'sqrt', 'result': 0.9069298673506317}, {'id': 'S17', 'n_estimators': 17, 'max_features': 'sqrt', 'result': 0.9045021583714915}, {'id': 'S18', 'n_estimators': 18, 'max_features': 'sqrt', 'result': 0.906605980498602}, {'id': 'S19', 'n_estimators': 19, 'max_features': 'sqrt', 'result': 0.9049881197778161}, {'id': 'S20', 'n_estimators': 20, 'max_features': 'sqrt', 'result': 0.9061223794013207}, {'id': 'S21', 'n_estimators': 21, 'max_features': 'sqrt', 'result': 0.9033699968004699}, {'id': 'S22', 'n_estimators': 22, 'max_features': 'sqrt', 'result': 0.9046642329257868}, {'id': 'S23', 'n_estimators': 23, 'max_features': 'sqrt', 'result': 0.9051494075624301}, {'id': 'S24', 'n_estimators': 24, 'max_features': 'sqrt', 'result': 0.9057974435230498}, {'id': 'S25', 'n_estimators': 25, 'max_features': 'sqrt', 'result': 0.9051496698189906}, {'id': 'S26', 'n_estimators': 26, 'max_features': 'sqrt', 'result': 0.9057963944968084}, {'id': 'S27', 'n_estimators': 27, 'max_features': 'sqrt', 'result': 0.9069298673506317}, {'id': 'S28', 'n_estimators': 28, 'max_features': 'sqrt', 'result': 0.9067688418225781}, {'id': 'S29', 'n_estimators': 29, 'max_features': 'sqrt', 'result': 0.906930129607192}, {'id': 'S30', 'n_estimators': 30, 'max_features': 'sqrt', 'result': 0.9049875952646957}, {'id': 'S31', 'n_estimators': 31, 'max_features': 'sqrt', 'result': 0.9053120066298458}, {'id': 'S32', 'n_estimators': 32, 'max_features': 'sqrt', 'result': 0.9053122688864061}, {'id': 'L1', 'n_estimators': 1, 'max_features': 'log2', 'result': 0.8656580279355687}, {'id': 'L2', 'n_estimators': 2, 'max_features': 'log2', 'result': 0.8907457527550052}, {'id': 'L3', 'n_estimators': 3, 'max_features': 'log2', 'result': 0.8875074087478299}, {'id': 'L4', 'n_estimators': 4, 'max_features': 'log2', 'result': 0.8915548142436782}, {'id': 'L5', 'n_estimators': 5, 'max_features': 'log2', 'result': 0.8926869758146999}, {'id': 'L6', 'n_estimators': 6, 'max_features': 'log2', 'result': 0.8946302969268775}, {'id': 'L7', 'n_estimators': 7, 'max_features': 'log2', 'result': 0.8934970863296146}, {'id': 'L8', 'n_estimators': 8, 'max_features': 'log2', 'result': 0.8946284611309553}, {'id': 'L9', 'n_estimators': 9, 'max_features': 'log2', 'result': 0.8959232217693925}, {'id': 'L10', 'n_estimators': 10, 'max_features': 'log2', 'result': 0.8951131112544781}, {'id': 'L11', 'n_estimators': 11, 'max_features': 'log2', 'result': 0.8970551210838538}, {'id': 'L12', 'n_estimators': 12, 'max_features': 'log2', 'result': 0.8959221727431512}, {'id': 'L13', 'n_estimators': 13, 'max_features': 'log2', 'result': 0.8985114317634657}, {'id': 'L14', 'n_estimators': 14, 'max_features': 'log2', 'result': 0.8978633958028459}, {'id': 'L15', 'n_estimators': 15, 'max_features': 'log2', 'result': 0.8985103827372243}, {'id': 'L16', 'n_estimators': 16, 'max_features': 'log2', 'result': 0.8998064546584633}, {'id': 'L17', 'n_estimators': 17, 'max_features': 'log2', 'result': 0.9012632898511954}, {'id': 'L18', 'n_estimators': 18, 'max_features': 'log2', 'result': 0.8998075036847046}, {'id': 'L19', 'n_estimators': 19, 'max_features': 'log2', 'result': 0.9006170896864985}, {'id': 'L20', 'n_estimators': 20, 'max_features': 'log2', 'result': 0.9014274624579734}, {'id': 'L21', 'n_estimators': 21, 'max_features': 'log2', 'result': 0.900780213267035}, {'id': 'L22', 'n_estimators': 22, 'max_features': 'log2', 'result': 0.8983519797747741}, {'id': 'L23', 'n_estimators': 23, 'max_features': 'log2', 'result': 0.8981888561942377}, {'id': 'L24', 'n_estimators': 24, 'max_features': 'log2', 'result': 0.8999695782389997}, {'id': 'L25', 'n_estimators': 25, 'max_features': 'log2', 'result': 0.8988361053851763}, {'id': 'L26', 'n_estimators': 26, 'max_features': 'log2', 'result': 0.8994825678064335}, {'id': 'L27', 'n_estimators': 27, 'max_features': 'log2', 'result': 0.89899739316979}, {'id': 'L28', 'n_estimators': 28, 'max_features': 'log2', 'result': 0.8986737685743209}, {'id': 'L29', 'n_estimators': 29, 'max_features': 'log2', 'result': 0.8994825678064338}, {'id': 'L30', 'n_estimators': 30, 'max_features': 'log2', 'result': 0.8999687914693185}, {'id': 'L31', 'n_estimators': 31, 'max_features': 'log2', 'result': 0.9004539661059621}, {'id': 'L32', 'n_estimators': 32, 'max_features': 'log2', 'result': 0.9015871767032252}, {'id': 'N1', 'n_estimators': 1, 'max_features': None, 'result': 0.8797343865556797}, {'id': 'N2', 'n_estimators': 2, 'max_features': None, 'result': 0.8944648130372981}, {'id': 'N3', 'n_estimators': 3, 'max_features': None, 'result': 0.8960831982712048}, {'id': 'N4', 'n_estimators': 4, 'max_features': None, 'result': 0.8994825678064335}, {'id': 'N5', 'n_estimators': 5, 'max_features': None, 'result': 0.895923484025953}, {'id': 'N6', 'n_estimators': 6, 'max_features': None, 'result': 0.8991589432109646}, {'id': 'N7', 'n_estimators': 7, 'max_features': None, 'result': 0.896407609636355}, {'id': 'N8', 'n_estimators': 8, 'max_features': None, 'result': 0.9004537038494018}, {'id': 'N9', 'n_estimators': 9, 'max_features': None, 'result': 0.8977023702747925}, {'id': 'N10', 'n_estimators': 10, 'max_features': None, 'result': 0.9001298169973723}, {'id': 'N11', 'n_estimators': 11, 'max_features': None, 'result': 0.8989968686566694}, {'id': 'N12', 'n_estimators': 12, 'max_features': None, 'result': 0.8999693159824395}, {'id': 'N13', 'n_estimators': 13, 'max_features': None, 'result': 0.9002929405779087}, {'id': 'N14', 'n_estimators': 14, 'max_features': None, 'result': 0.8996462159000908}, {'id': 'N15', 'n_estimators': 15, 'max_features': None, 'result': 0.9011030510928231}, {'id': 'N16', 'n_estimators': 16, 'max_features': None, 'result': 0.901103051092823}, {'id': 'N17', 'n_estimators': 17, 'max_features': None, 'result': 0.9011030510928231}, {'id': 'N18', 'n_estimators': 18, 'max_features': None, 'result': 0.9023978117312605}, {'id': 'N19', 'n_estimators': 19, 'max_features': None, 'result': 0.9012648633905578}, {'id': 'N20', 'n_estimators': 20, 'max_features': None, 'result': 0.9025606730552365}, {'id': 'N21', 'n_estimators': 21, 'max_features': None, 'result': 0.9020757606751533}, {'id': 'N22', 'n_estimators': 22, 'max_features': None, 'result': 0.9027222230964107}, {'id': 'N23', 'n_estimators': 23, 'max_features': None, 'result': 0.9020754984185929}, {'id': 'N24', 'n_estimators': 24, 'max_features': None, 'result': 0.901589274755708}, {'id': 'N25', 'n_estimators': 25, 'max_features': None, 'result': 0.9020749739054722}, {'id': 'N26', 'n_estimators': 26, 'max_features': None, 'result': 0.9043398215606363}, {'id': 'N27', 'n_estimators': 27, 'max_features': None, 'result': 0.9040167214782878}, {'id': 'N28', 'n_estimators': 28, 'max_features': None, 'result': 0.9035315468416443}, {'id': 'N29', 'n_estimators': 29, 'max_features': None, 'result': 0.9030461099484401}, {'id': 'N30', 'n_estimators': 30, 'max_features': None, 'result': 0.9046642329257866}, {'id': 'N31', 'n_estimators': 31, 'max_features': None, 'result': 0.904340346073757}, {'id': 'N32', 'n_estimators': 32, 'max_features': None, 'result': 0.9056351067121943}]

Variação | *n_estimators* | *max_features* | Acurácia média
------ | ------- | -------- | ----------
S1 | 1 | sqrt | 0.8624
S2 | 2 | sqrt | 0.8932
S3 | 3 | sqrt | 0.8925
S4 | 4 | sqrt | 0.8961
S5 | 5 | sqrt | 0.8941
S6 | 6 | sqrt | 0.9011
S7 | 7 | sqrt | 0.8972
S8 | 8 | sqrt | 0.9032
S9 | 9 | sqrt | 0.9013
S10 | 10 | sqrt | 0.9019
S11 | 11 | sqrt | 0.8993
S12 | 12 | sqrt | 0.9011
S13 | 13 | sqrt | 0.9022
S14 | 14 | sqrt | 0.9039
S15 | 15 | sqrt | 0.9024
S16 | 16 | sqrt | 0.9069
S17 | 17 | sqrt | 0.9045
S18 | 18 | sqrt | 0.9066
S19 | 19 | sqrt | 0.9050
S20 | 20 | sqrt | 0.9061
S21 | 21 | sqrt | 0.9034
S22 | 22 | sqrt | 0.9047
S23 | 23 | sqrt | 0.9051
S24 | 24 | sqrt | 0.9058
S25 | 25 | sqrt | 0.9051
S26 | 26 | sqrt | 0.9058
S27 | 27 | sqrt | 0.9069
S28 | 28 | sqrt | 0.9068
S29 | 29 | sqrt | 0.9069
S30 | 30 | sqrt | 0.9050
S31 | 31 | sqrt | 0.9053
S32 | 32 | sqrt | 0.9053
L1 | 1 | log2 | 0.8657
L2 | 2 | log2 | 0.8907
L3 | 3 | log2 | 0.8875
L4 | 4 | log2 | 0.8916
L5 | 5 | log2 | 0.8927
L6 | 6 | log2 | 0.8946
L7 | 7 | log2 | 0.8935
L8 | 8 | log2 | 0.8946
L9 | 9 | log2 | 0.8959
L10 | 10 | log2 | 0.8951
L11 | 11 | log2 | 0.8971
L12 | 12 | log2 | 0.8959
L13 | 13 | log2 | 0.8985
L14 | 14 | log2 | 0.8979
L15 | 15 | log2 | 0.8985
L16 | 16 | log2 | 0.8998
L17 | 17 | log2 | 0.9013
L18 | 18 | log2 | 0.8998
L19 | 19 | log2 | 0.9006
L20 | 20 | log2 | 0.9014
L21 | 21 | log2 | 0.9008
L22 | 22 | log2 | 0.8984
L23 | 23 | log2 | 0.8982
L24 | 24 | log2 | 0.9000
L25 | 25 | log2 | 0.8988
L26 | 26 | log2 | 0.8995
L27 | 27 | log2 | 0.8990
L28 | 28 | log2 | 0.8987
L29 | 29 | log2 | 0.8995
L30 | 30 | log2 | 0.9000
L31 | 31 | log2 | 0.9005
L32 | 32 | log2 | 0.9016
N1 | 1 | None | 0.8797
N2 | 2 | None | 0.8945
N3 | 3 | None | 0.8961
N4 | 4 | None | 0.8995
N5 | 5 | None | 0.8959
N6 | 6 | None | 0.8992
N7 | 7 | None | 0.8964
N8 | 8 | None | 0.9005
N9 | 9 | None | 0.8977
N10 | 10 | None | 0.9001
N11 | 11 | None | 0.8990
N12 | 12 | None | 0.9000
N13 | 13 | None | 0.9003
N14 | 14 | None | 0.8996
N15 | 15 | None | 0.9011
N16 | 16 | None | 0.9011
N17 | 17 | None | 0.9011
N18 | 18 | None | 0.9024
N19 | 19 | None | 0.9013
N20 | 20 | None | 0.9026
N21 | 21 | None | 0.9021
N22 | 22 | None | 0.9027
N23 | 23 | None | 0.9021
N24 | 24 | None | 0.9016
N25 | 25 | None | 0.9021
N26 | 26 | None | 0.9043
N27 | 27 | None | 0.9040
N28 | 28 | None | 0.9035
N29 | 29 | None | 0.9030
N30 | 30 | None | 0.9047
N31 | 31 | None | 0.9043
N32 | 32 | None | 0.9056
